employee_id,team,AZV1,AZV2,AZV3,ZT1,ZT10,ZT100,ZT101,ZT102,ZT103,ZT104,ZT105,ZT106,ZT107,ZT108,ZT109,ZT114,ZT115,ZT116,ZT117,ZT118,ZT119,ZT12,ZT120,ZT121,ZT122,ZT123,ZT124,ZT125,ZT126,ZT127,ZT128,ZT129,ZT13,ZT130,ZT131,ZT132,ZT133,ZT134,ZT135,ZT136,ZT137,ZT138,ZT139,ZT14,ZT140,ZT141,ZT142,ZT143,ZT144,ZT145,ZT146,ZT15,ZT16,ZT17,ZT18,ZT19,ZT2,ZT20,ZT21,ZT22,ZT23,ZT24,ZT25,ZT26,ZT27,ZT28,ZT29,ZT3,ZT30,ZT31,ZT32,ZT33,ZT35,ZT36,ZT37,ZT38,ZT39,ZT4,ZT40,ZT41,ZT42,ZT44,ZT45,ZT47,ZT48,ZT49,ZT5,ZT50,ZT52,ZT53,ZT54,ZT55,ZT56,ZT57,ZT58,ZT59,ZT6,ZT61,ZT62,ZT63,ZT64,ZT65,ZT66,ZT67,ZT68,ZT69,ZT7,ZT70,ZT71,ZT72,ZT73,ZT74,ZT75,ZT76,ZT77,ZT78,ZT79,ZT8,ZT80,ZT81,ZT82,ZT83,ZT84,ZT85,ZT89,ZT90,ZT91,ZT94,ZT95,ZT96,ZT97,ZT98,ZT99
250,vroedvrouwen,4,4,7,9,5,10,6,7,1,10,5,10,10,8,5,7,6,7,6,5,5,6,5,7,9,2,5,5,5,7,1,7,9,5,5,1,5,5,5,7,5,7,8,4,7,8,6,6,7,5,7,8,4,5,2,4,7,6,4,5,7,5,3,7,1,7,6,9,8,3,4,8,7,7,7,7,8,9,5,5,8,8,8,6,7,6,7,8,9,5,3,7,7,7,8,7,8,7,10,7,6,6,8,8,5,8,8,3,7,7,7,7,7,6,6,3,6,8,4,5,9,10,3,6,4,5,5,6,1,7,5,5,5
251,vroedvrouwen,7,8,10,9,9,10,1,1,1,10,10,10,10,9,9,9,9,9,10,7,7,9,9,3,9,1,7,7,7,9,9,10,1,8,8,5,9,5,7,9,9,9,9,1,8,9,9,10,10,7,7,1,1,8,1,1,8,1,1,4,3,5,6,4,7,1,1,10,1,9,10,4,9,9,9,8,9,3,10,10,10,10,9,9,8,10,9,10,9,10,8,9,9,9,10,10,9,8,9,9,9,8,10,9,3,8,10,1,8,9,5,5,9,8,7,2,2,9,3,3,10,10,10,7,3,10,2,10,0,10,9,10,10
252,vroedvrouwen,1,1,8,6,5,7,1,1,2,7,7,7,8,7,7,7,8,7,7,6,8,9,8,8,8,1,8,8,10,7,8,8,5,8,1,5,8,1,8,6,7,9,9,5,6,7,1,8,6,1,1,3,3,1,3,4,6,1,1,3,3,5,1,5,1,4,4,8,4,5,6,6,5,5,6,2,8,4,6,5,10,5,9,7,6,9,5,9,8,9,2,8,9,1,10,10,6,9,5,9,5,8,8,8,1,8,5,1,4,2,7,7,6,6,1,5,1,7,6,5,8,7,8,5,6,9,5,8,1,7,8,8,8
253,vroedvrouwen,7,7,8,10,2,8,2,1,10,10,4,4,10,9,8,9,5,4,5,7,9,3,4,9,10,9,1,3,3,10,10,8,9,10,8,3,4,5,8,2,10,10,10,7,10,10,1,8,10,8,2,8,8,10,6,7,6,5,6,2,1,7,1,1,1,10,10,8,10,5,9,9,9,10,2,4,10,2,5,4,9,8,6,4,5,10,7,5,2,10,4,3,1,3,9,9,10,1,5,3,3,3,6,8,5,10,10,1,7,9,9,5,10,9,9,5,3,8,7,5,5,4,10,8,9,5,10,1,2,3,9,5,5
254,vroedvrouwen,7,7,7,8,7,10,1,1,1,8,8,8,10,8,8,6,7,6,8,7,7,6,7,6,9,7,9,5,9,8,7,9,2,9,8,5,7,7,10,5,7,8,8,1,8,9,7,8,6,7,5,4,2,8,2,1,6,1,1,4,1,1,1,1,8,1,1,7,10,9,10,7,8,7,8,8,7,7,5,8,7,7,10,8,7,9,6,10,7,6,8,6,6,9,10,10,6,9,8,8,8,7,7,7,4,8,6,1,8,5,7,5,8,8,8,3,4,6,3,3,9,9,7,4,4,6,6,8,30,7,7,8,8
256,vroedvrouwen,8,7,10,9,8,10,1,2,1,10,8,7,10,10,9,8,6,9,9,8,8,8,10,1,10,1,6,9,7,10,8,6,4,8,9,1,8,7,9,7,7,7,8,7,7,8,7,8,10,9,7,1,1,8,1,1,9,1,1,2,4,6,1,1,1,5,1,10,1,7,8,4,8,8,7,7,8,1,7,5,7,8,10,9,9,9,10,10,9,9,7,9,9,9,9,9,9,7,7,7,6,6,8,9,3,10,10,1,10,10,9,3,6,8,5,6,5,9,5,6,7,8,8,7,3,8,3,5,1,8,7,8,7
257,vroedvrouwen,7,6,8,8,6,8,4,4,3,8,6,7,8,8,7,8,7,8,7,7,7,7,7,7,7,7,7,6,6,8,7,7,7,7,5,7,7,7,7,7,7,7,8,7,7,8,6,7,8,6,6,6,5,7,4,4,8,3,5,5,6,7,3,4,5,7,7,7,4,7,7,7,6,7,7,7,8,7,7,7,8,7,9,8,7,8,7,10,8,8,7,8,8,9,9,9,8,5,7,7,7,7,7,7,5,7,7,3,7,6,7,4,8,9,7,7,6,8,6,7,5,8,8,6,7,6,6,7,2,7,7,7,7
262,vroedvrouwen,10,8,10,8,7,10,1,1,2,10,8,9,10,9,8,10,8,6,10,8,9,7,8,5,7,4,9,8,9,10,9,10,6,9,9,4,10,8,8,5,7,9,8,6,7,9,7,7,6,8,7,3,3,8,1,2,8,1,3,3,1,1,1,1,10,2,2,7,3,8,10,4,8,8,9,9,8,7,3,5,10,10,10,10,8,9,6,7,7,6,10,6,7,10,10,10,5,8,9,8,7,8,9,7,3,7,7,1,7,2,8,5,9,10,7,6,6,6,6,7,5,6,10,6,4,4,3,8,1,10,8,8,8
263,vroedvrouwen,8,8,8,8,8,10,1,1,1,8,10,8,10,9,10,7,9,8,8,7,8,8,8,7,9,7,8,8,8,9,9,8,4,9,8,2,8,7,8,7,8,8,9,4,9,9,9,8,9,4,7,3,5,6,3,1,8,1,3,3,3,2,1,10,1,4,3,9,2,8,8,5,7,8,8,8,7,2,3,9,5,9,7,9,6,10,9,10,7,8,8,7,7,7,9,9,8,9,9,9,9,9,7,7,7,7,10,1,8,5,7,6,8,7,8,3,4,9,5,4,10,10,10,4,1,7,7,9,1,7,9,8,9
264,vroedvrouwen,5,5,6,8,7,8,2,4,4,8,9,6,10,9,9,7,8,10,10,4,5,7,5,9,6,8,5,8,5,8,7,9,10,8,5,2,7,5,10,8,8,10,10,10,7,8,3,5,9,8,4,6,4,10,4,4,9,5,7,10,8,8,8,8,2,8,5,7,7,4,8,5,2,2,10,8,8,7,1,3,5,9,10,10,7,10,5,10,6,10,10,1,3,10,10,10,6,9,7,7,6,7,6,10,5,9,6,1,7,8,7,4,8,9,8,6,6,6,7,8,10,4,9,9,7,2,10,4,1,7,4,6,4
267,vroedvrouwen,5,4,9,7,8,8,1,1,1,8,7,8,9,7,4,10,7,9,9,8,6,8,9,3,10,1,8,8,8,7,9,8,7,7,8,1,10,6,6,6,9,9,10,7,7,8,6,8,8,8,7,3,2,7,1,1,9,1,1,2,1,7,8,7,1,1,1,10,1,8,10,4,6,6,9,7,8,7,6,5,9,9,10,9,10,10,8,10,10,10,9,10,10,7,10,10,7,7,8,8,7,8,7,9,5,10,8,1,7,7,8,2,8,9,8,1,2,9,5,1,10,10,10,7,6,5,7,8,3,6,3,8,8
